name,status,total_energy,formation_energy,fermi_level,vacuum_level,workfunction,metal_type,gap,vbm_energy,cbm_energy,vbm_coordi,cbm_coordi,vbm_index,cbm_index
POSCAR-I6Sb2-162-POSCAR-PdBr2-164,done,-62.732069,-4.421309,-1.76691165,3.717,5.484,indirect,0.7584,-1.9708,-1.9708,"['0.000000', '0.105263', '0.000000']","['0.521878', '-0.471427', '0.000000']",74,75
POSCAR-In2S2-164-POSCAR-Zn2S2-164,done,-30.455034,-4.337874,-1.89624708,4.157,6.054,indirect,1.7059,-2.1119,-2.1119,"['0.087719', '0.087719', '0.000000']","['0.000000', '0.000000', '0.000000']",37,38
POSCAR-WTe2-187-POSCAR-Y3C2H2O2-187,done,-86.402953,-11.169603,1.31625537,4.582,3.266,metal,-5.2827,5.2827,5.2827,"['0.359649', '0.280702', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-HfBrI-156-POSCAR-TiBrI-156,done,-31.214804,-5.077934,1.15012472,4.835,3.685,indirect,0.6336,0.9389,0.9389,"['0.333333', '0.333333', '0.000000']","['0.140351', '0.140351', '0.000000']",25,26
POSCAR-Re2S2-164-POSCAR-Y2I2-164,done,-54.447544,-2.465504,0.37001744,4.638,4.268,metal,-0.5547,0.5522,0.5522,"['0.210526', '0.210526', '0.000000']","['0.500000', '0.000000', '0.000000']",31,32
POSCAR-HfLi2-187-POSCAR-Nb2N-164,done,-44.037971,0.7407790000000034,0.42467692,5.301,4.877,metal,-2.8814,2.8814,2.8814,"['0.245614', '0.245614', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Ga2Y2I2-164-POSCAR-InI2-187,done,-37.368406,-7.284986,0.14504942,5.253,5.108,metal,-4.6534,4.6534,4.6534,"['0.333333', '0.333333', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Cu2Br6-162-POSCAR-VSb2-164,done,-94.24535,0.9906699999999944,-0.49953021,5.812,6.312,metal,-0.2077,-0.3747,-0.3747,"['0.078947', '-0.078947', '0.000000']","['0.000000', '0.473684', '0.000000']",78,79
POSCAR-Hf2I2N2-164-POSCAR-PtSe2-187,done,-63.799394,-8.255924,0.40226364,5.07,4.668,metal,-0.7773,0.9768,0.9768,"['0.052632', '0.000000', '0.000000']","['0.122807', '0.122807', '0.000000']",33,34
POSCAR-HfSb2-187-POSCAR-WSb2-164,done,-41.491558,0.9459820000000008,1.69988523,6.287,4.587,metal,-2.5387,2.984,2.984,"['0.000000', '0.000000', '0.000000']","['0.394737', '0.210526', '0.000000']",22,23
POSCAR-BiTaAs-156-POSCAR-CuS2-164,done,-33.505527,1.3667129999999972,-0.43231939,5.295,5.728,metal,-1.4615,0.584,0.584,"['0.000000', '0.000000', '0.000000']","['0.280702', '0.280702', '0.000000']",27,28
POSCAR-AsBrTe-156-POSCAR-CuTe2-187,done,-21.230879,0.7588909999999984,-0.43975617,5.104,5.544,metal,-1.587,1.587,1.587,"['0.315790', '0.315790', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Bi2I6-147-POSCAR-SbSe2-164,done,-72.821707,-4.256487,-1.28856629,3.986,5.274,metal,-1.2256,-0.811,-0.811,"['0.333333', '0.333333', '0.000000']","['0.017544', '0.017544', '0.000000']",70,71
POSCAR-CuS2-187-POSCAR-ZrBrI-156,done,-28.092287,-2.420327,0.09211702,4.333,4.241,metal,-5.4229,5.4229,5.4229,"['0.385965', '0.228070', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Bi2Ti-187-POSCAR-Sc4C3H2O2-156,done,-99.862065,-12.762895,1.59314853,5.61,4.017,metal,-1.6962,2.4815,2.4815,"['0.000000', '0.000000', '0.000000']","['0.385965', '0.228070', '0.000000']",56,57
POSCAR-BrSSb-156-POSCAR-CdBr2-164,done,-19.158247,-3.529057,-2.50708576,3.461,5.968,indirect,1.3556,-2.6817,-2.6817,"['0.105263', '0.105263', '0.000000']","['0.000000', '0.000000', '0.000000']",22,23
POSCAR-TiSeTe-156-POSCAR-Y2Br6-162,done,-111.59212,-23.54392,-1.15323277,4.008,5.161,direct,0.0283,-1.1429,-1.1429,"['0.000000', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",80,81
POSCAR-HfH2-187-POSCAR-Ti3C2H2O2-187,done,-89.808221,-13.193031,0.99967629,5.128,4.128,metal,-0.3464,1.1009,1.1009,"['0.280702', '0.280702', '0.000000']","['0.122807', '0.122807', '0.000000']",35,36
POSCAR-P2-164-POSCAR-VAsSb-156,done,-30.141204,0.6705959999999997,-0.3777548,4.707,5.084,metal,-3.3962,3.3962,3.3962,"['0.131579', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Hf2N-164-POSCAR-Nb4C3O2-164,done,-124.71914,-15.19695,2.05414189,7.643,5.589,metal,-5.1188,5.1188,5.1188,"['0.429825', '0.140351', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-RuBr2-187-POSCAR-VTe2-187,done,-29.619145,0.7649149999999985,-0.29972042,5.239,5.539,metal,-2.8381,2.8381,2.8381,"['0.000000', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-BiTaSb-156-POSCAR-WSTe-156,done,-43.193318,-0.224728,0.97840843,6.247,5.268,metal,-5.5236,5.5236,5.5236,"['0.078947', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Zr2CO2-164-POSCAR-Zr4N3O2-164,done,-140.1785,-34.07063,2.5155275,7.222,4.707,metal,-6.6549,6.6549,6.6549,"['0.456140', '0.087719', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Al2MgSe4-164-POSCAR-Re2Se2-164,done,-64.08449,-4.98474,0.78475346,4.428,3.643,metal,-0.5445,1.2728,1.2728,"['0.333333', '0.333333', '0.000000']","['0.017544', '0.017544', '0.000000']",29,30
POSCAR-Al2S2-164-POSCAR-Y3C2-187,done,-60.648124,-4.918174,0.42640152,4.724,4.297,metal,-3.5929,3.5929,3.5929,"['0.078947', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-V2Se2-164-POSCAR-VBrCl-156,done,-43.524751,-3.182781,0.04144639,4.277,4.236,metal,-2.5885,2.5885,2.5885,"['0.026316', '0.000000', '0.000000']","['0.000000', '0.000000', '0.000000']",0,0
POSCAR-Sc2N-164-POSCAR-Ti2Cl6-189,done,-140.16725,-25.97725,0.5736983,5.428,4.854,metal,-0.176,0.6425,0.6425,"['0.000000', '0.105263', '0.000000']","['0.500000', '0.000000', '0.000000']",87,88
POSCAR-Ti2Br6-189-POSCAR-VSe2-164,done,-112.7623,-15.4685,-0.99848392,3.944,4.942,metal,-0.1912,-0.8752,-0.8752,"['0.333333', '0.333333', '0.000000']","['0.184210', '0.000000', '0.000000']",83,84
POSCAR-Bi2Ti-187-POSCAR-WSTe-156,done,-39.416022,-0.738872,1.14175259,6.601,5.459,metal,-1.5653,2.077,2.077,"['0.157895', '0.000000', '0.000000']","['0.263158', '0.263158', '0.000000']",34,35
POSCAR-NbAsSb-156-POSCAR-Y4N3-164,done,-82.755496,-10.021556,0.87402593,5.776,4.902,metal,-1.163,1.8017,1.8017,"['0.000000', '0.000000', '0.000000']","['0.263158', '0.000000', '0.000000']",41,42
POSCAR-Bi2O2-187-POSCAR-Ta2S2-164,done,-56.495936,-5.458316,0.39018245,4.014,3.624,metal,-0.2465,0.5508,0.5508,"['0.070175', '0.070175', '0.000000']","['0.333333', '0.333333', '0.000000']",38,39
POSCAR-GaI2-164-POSCAR-YI2-187,done,-21.796674,-4.580294,-0.18390416,4.625,4.809,metal,-0.6442,0.116,0.116,"['0.070175', '0.070175', '0.000000']","['0.500000', '0.000000', '0.000000']",26,27
POSCAR-HfSeTe-156-POSCAR-MgBr2-164,done,-30.738805,-7.470265,-1.14021657,3.636,4.776,metal,-0.2726,-0.8635,-0.8635,"['0.000000', '0.000000', '0.000000']","['0.500000', '0.000000', '0.000000']",19,20
